"Video-Nr","Videotitel","Szenen-Nr","Sprechtext/Inhalt","Caption","Visuell/Setup","Effekte","Sound","Personen-Anzahl","Personen-Rolle","Drehort","Anmerkungen",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","4.8","O-Ton Marvin: 'Wenn du Erfahrung hast - egal ob mit Ausbildung oder ohne - kannst du hier was draus machen.'","","Aufstiegs-Pointe + CTA-Übergang: Marvin frontal, Cut auf Endcard.","Frontal-Frame, leichter Push-In zum Schluss.","Leise Auflösung.","1","Marvin","Kupferzell","Subtextlich niedrigere Einstiegshürde, kein offener AWKG-Vergleich.",""
"4","Fachkraft Lager - Wenn du seit Jahren denselben Gang läufst","4.9","VO: 'Klick auf den Button, trag dich ein und wir melden uns bei dir.'","BEWIRB DICH JETZT.","CTA-Endcard: schwarzer Hintergrund, weiße harte Typografie. Headline 'BEWIRB DICH JETZT.' Sub: 'Fachkraft Lagerlogistik / Lagermitarbeiter. WLC Kupferzell + Adelsheim.' Logo WLC + Würth-Anker. +.","Harter Cut auf Endcard mit Schlag.","Schluss-Beat.","","","","Hashtags: #wlc #lagerlogistik #fachkraftlager #würthgruppe #karrierewechsel. Hardlink job_details_263. CTA-7-Bogen-Schluss-Variante: Hook 'denselben Gang' -> Schluss 'wenn du was Neues willst'.",""
"Video 5 - Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","","","","","","","","","","","",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","Hook A","VO Mitarbeiter-Stimme: 'Ein Hochregallager. Der Konzern dahinter. Und ein Team, das hier seit Jahren wächst.'","Ein Hochregallager. Der Konzern dahinter. Und ein Team, das hier seit Jahren wächst.","Tilt-up am Hochregal Kupferzell, niedrige Kamera-Position; falls Drohne genehmigt: Außen-Aufnahme Kupferzell-Hochregal von oben, dann Tilt nach unten.","Tilt-Up-Bewegung, Caption synchron.","Underscore ernst, stabil, mit leichtem Aufbau.","1","Mitarbeiter-Stimme (langjähriger MA)","Kupferzell Hochregal","Quereinstieg-Anker neu (Meeting 12.5.). Zielgruppe geschärft auf normale Lager-MA + Quereinsteiger.",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","Hook B","VO: 'Logistik-Branche schrumpft? Bei uns wird gerade gebaut.'","Logistik-Branche schrumpft? Bei uns wird gerade gebaut.","News-Schlagzeilen-Schnipsel als Inserts (Insolvenz-Headlines, Konsolidierungs-Headlines aus Branchen-Diskurs - rechtefrei oder mit Quellen-Vermerk klein eingeblendet). Cut auf Bauarbeiter / Hochregal-Footage / WLC-Hochregal-Neubau Adelsheim.","Schlagzeilen-Inserts mit Newsroom-Sound, harter Cut auf Bauarbeiter-Footage.","Kurzer Schlag-/Newsroom-Sound bei Schlagzeilen-Schnipseln.","","Bauarbeiter (B-Roll)","Adelsheim WLC-Hochregal-Neubau Business-Park","Recherche-Anker trans.info. Niro klärt vor Schnitt: rechtefrei oder Quellen-Vermerk.",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","Hook C","Kein VO. Caption: '[XX] METER. NEU. WLC. WÜRTH-GRUPPE.'","[XX] METER. NEU. WLC. WÜRTH-GRUPPE.","Mitarbeiter klein vor Hochregal-Front (Kupferzell-Hochregal innen oder Adolf-Würth-Hochregal Adelsheim außen). Harte Typografie Vollbild. Cut auf Mitarbeiter-Gesicht.","Vollbild-Typografie, Parallax-/Push-In.","Cinematic Drum-Hit, ruhige Auflage.","1","Mitarbeiter klein vor Hochregal","Kupferzell oder Adelsheim Adolf-Würth-Hochregal","Höhen-Klärung 30m vs. 36m offen. Variante C nur final scripten, wenn Höhe + Bauwerk eindeutig sind.",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","5.1","Vollbild-Typografie: '[NAME]. LAGERLOGISTIK. SEIT [X] JAHREN BEI WLC.'","[NAME]. LAGERLOGISTIK. SEIT [X] JAHREN BEI WLC.","Namens-Splash Mitarbeiter: Vollbild-Typografie.","Vollbild-Splash, schwarzer Grund, weiße Typografie.","Drum-Hit auf Splash.","","","","",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","5.2","Interview-Frage an Hauptdarsteller (Hero Video 5 o.a.): 'Wie bist du zu WLC gekommen? Welche Vorerfahrung hattest du - und welche brauchst du wirklich für den Job?' (final beim Drehtag-Interview)","","Story-Bogen Beat 1: Mitarbeiter mid-shot in Halle, authentischer Bogen Branchen-Pain -> WLC-Sicherheit.","Statischer Mid-Shot.","Underscore zurückhaltend.","1","Hero Video 5 (Mitte 20, normale Lager-Tätigkeit, Name folgt nach Bestätigung) ODER langjähriger Mitarbeiter mit Quereinstiegs-Backstory ODER externer Backup-Kandidat Bad Mergentheim (Name folgt nach Bestätigung)","Kupferzell Lagerhalle","Hauptdarsteller-Casting offen, Entscheidung mit Cornelia + Ausbildungsleitung vor Drehtag.",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","5.3","Interview-Frage an Hauptdarsteller: 'Was bedeutet die Anbindung an die Würth-Gruppe für dich im Arbeitsalltag? Wann hast du gemerkt, dass das einen Unterschied macht?' (final beim Drehtag-Interview)","","Story-Bogen Beat 2 - Würth-Anker: Mitarbeiter + Cut auf Würth-Logo / Konzern-Touchpoint im Hintergrund.","Cut auf Würth-Touchpoint.","Underscore baut auf.","1","Mitarbeiter (Hauptdarsteller)","Kupferzell mit Würth-Anker im Hintergrund","Würth-Logo / Niederlassung als Hintergrund-Element offen (Drehtag-Setup).",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","5.4","Animation Captions: '12 STANDORTE in Deutschland' / 'SEIT 1996 TEIL DER WÜRTH-GRUPPE' / 'NEUES HOCHREGAL [XX]M. ADELSHEIM.' / 'ROBOTER-BEREICH KUPFERZELL'","12 STANDORTE / SEIT 1996 / NEUES HOCHREGAL [XX]M / ROBOTER-BEREICH KUPFERZELL","Beweis-Sequenz Salve - animierte Beweis-Cards eingeblendet, Map mit Pin-Drops.","Animation hochzählend, Pin-Drops auf Karte, Counter.","Underscore baut zur Salve, Beat-Synced-Card-Pulse.","","","","Konzern-Freigabe öffentliche Zahlen offen. Mitarbeiterzahl 850 vs. 750+ klären.",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","5.5","Kein direkter O-Ton, B-Roll-Salve","","Equipment-/Tech-Beweis B-Roll-Salve: Hochregal-Wide-Shot Kupferzell + AKL Adelsheim Cross-Cut (Förderbänder, Kästen) + Roboter-Bereich Kupferzell (sofern Drohne) + moderne Stapler-Bedienung.","B-Roll-Salve mit Cross-Cuts, Cinematic-Anteil.","Cinematic-Underscore.","","B-Roll-Mitarbeiter pro Bereich","Kupferzell + Adelsheim AKL Cross-Cut","Pflicht-Cross-Cut AKL Adelsheim aus Re-Analyse umgesetzt.",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","5.6","Interview-Frage an Hauptdarsteller: 'Was macht Lager heute anders als das Klischee vom Schleppen? Wo siehst du fortschrittliche Technik im Alltag?' (final beim Drehtag-Interview, mit B-Roll Saugnoppen + Fördertechnik im ZDL)","","Hauptdarsteller im Lager-Setting + B-Roll-Salve: Saugnoppen heben Karton, Fördertechnik in Aktion, AKL-Förderband. Reframe Lager = Technik.","Statischer Mid-Shot.","Underscore trägt.","1","Mitarbeiter (Hauptdarsteller)","Kupferzell Lager-Setting mit Bauarbeiter-Anker","Ergonomie-Anker NEU aus Meeting 12.5. (Cornelia-O-Ton): 'Saugnoppen, die den Karton hochsaugen, dass du das nicht schleppen musst. Flur- und Fördertechnik wirklich sehr fortschrittlich.' Drehen im ZDL Adelsheim, Cross-Cut zu AKL möglich.",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","5.7","Animation Captions: 'BAV. URLAUBSGELD. WEIHNACHTSGELD. PRÄMIENZAHLUNGEN. WÜRTH-MITARBEITERRABATTE. E-BIKE-LEASING. GESUNDHEITSTAGE.'","BAV / URLAUBSGELD / WEIHNACHTSGELD / PRÄMIEN / WÜRTH-RABATTE / E-BIKE / GESUNDHEITSTAGE","Benefits-Salve animierte Karten-Bündel: kein Detail, pauschal als Liste mit Würth-Anker.","Animation, schwarzer Grund, Beat-Synced-Cards.","Underscore mit klarem Beat.","","","","",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","5.8","VO oder Mitarbeiter frontal: 'Wer Sicherheit will, sollte sehen, was hier gerade entsteht.'","","Übergangs-Statement: Mitarbeiter frontal oder VO über B-Roll.","Frontal-Frame, leichter Push-In zum Schluss.","Ruhige Auflösung, Underscore zurück.","1","Mitarbeiter (Hauptdarsteller)","Kupferzell","",""
"5","Fachkraft Lager - 30 Meter hoch. Und wir wachsen weiter.","5.9","VO: 'Klick auf den Button, trag dich ein und wir melden uns bei dir.'","BEWIRB DICH JETZT.","CTA-Endcard: schwarzer Hintergrund, weiße harte Typografie. Headline 'BEWIRB DICH JETZT.' Sub: 'Fachkraft Lagerlogistik / Lagermitarbeiter. WLC Kupferzell + Adelsheim. Sicherer Arbeitsplatz in einem wachsenden Unternehmen.' Logo WLC + Würth-Gruppe-Anker. +.","Harter Cut auf Endcard mit Beat.","Schluss-Beat.","","","","Hashtags: #wlc #lagerlogistik #würthgruppe #stabilität #karriere #fachkraftlager. Hardlink job_details_263. Beweis-Card-Outro stark, weil rationale Stabilitäts-Logik trägt.",""
"Video 6 - Employer-Brand - Alles Lager. Alles hier.","","","","","","","","","","","",""
"6","Employer-Brand - Alles Lager. Alles hier.","Hook A","Vollbild-Typografie + Audio-Schlag-Sound: 'LAUT' -> 'LEISE'","LAUT / LEISE","'LAUT' als Vollbild-Versalie, dahinter Maschinen-/Stapler-Sound + Action-Footage (Stapler in Bewegung, Verladung, Beep). Cut auf 'LEISE' Vollbild, dahinter stilles Hochregal Kupferzell in der Nacht oder leere Halle.","Audio-Schlag (low-frequency drum-hit), harter Cut zwischen Action und Stille.","Maschinen-Salve gegen Stille, Drum-Hit Sound-Design.","","B-Roll-Mitarbeiter","Adelsheim + Kupferzell","Cinematic Antonymen-Schlag. Bundeswehr-Spot 'Wir. Dienen. Deutschland.' als Sound-Referenz.",""
"6","Employer-Brand - Alles Lager. Alles hier.","Hook B","VO: 'Was hier passiert, sieht keiner. Bis es nicht mehr passiert.'","Was hier passiert, sieht keiner. Bis es nicht mehr passiert.","Schnelle Schnitt-Salve aus Lageralltag (Stapler, Hände am Scanner, Verladung, AKL-Förderband, Kollegen-Walking) - 8-10 Frames. Dann harter Cut auf leere Halle / nichts passiert / Stille.","Schnelle Schnitt-Salve, harter Cut auf Stille.","Salve mit Sound-Effekten, dann Stille mit warmer/tiefer VO.","","B-Roll-Mitarbeiter","Adelsheim + Kupferzell Lager","",""
"6","Employer-Brand - Alles Lager. Alles hier.","Hook C","Caption + VO: 'POV: Gemeinsam gestalten wir die Logistik bei WLC.'","POV: Du bist die Logistik, die Würth nach Deutschland trägt.","Multi-Voice-Frame mit echten Mitarbeitenden in WLC-Hoodies, Wappen sichtbar. Setting-Wechsel zwischen Halle, Bürobereich, Außenansicht (sofern Drohne freigegeben).","POV-Bewegung, Drohnen-Match-Cut nach außen.","Cinematic Score, leichter Aufbau.","1","POV-Träger (B-Roll-Mitarbeiter)","Adelsheim oder Kupferzell Halle + Lagertor","Cornelia-Wortlaut Meeting 12.5. 'Deutschland'-Frame explizit verworfen (Reinhold-Würth-AfD-Statement + 50 Nationen intern - Tabu für Cross-Konzept-Wording).",""
"6","Employer-Brand - Alles Lager. Alles hier.","6.1","Vollbild-Versalien: 'SCHNELL' / 'GENAU'","SCHNELL / GENAU","Antonymen-Beat 1: SCHNELL (Stapler-Tracking-Shot, Kollegen in Bewegung) -> GENAU (Scanner-Beep close, Etiketten-Detail).","Versalien-Typografie Vollbild, Audio-Schlag bei jedem Wort-Cut.","Drum-Hit pro Wort, Sound-Design Stapler vs. Scanner.","","B-Roll-Mitarbeiter","Adelsheim + Kupferzell Lager","Ein Wort = ein Schauplatz, max. 2 Sek pro Beat.",""
"6","Employer-Brand - Alles Lager. Alles hier.","6.2","Vollbild-Versalien: 'LAUT' / 'LEISE'","LAUT / LEISE","Antonymen-Beat 2: LAUT (Maschinen-Salve, AKL-Förderband mit Sound) -> LEISE (Hochregal-Wide-Shot Kupferzell, Halle bei Dämmerung).","Action vs. Stille mit Audio-Schlag-Cut.","Maschinen-Sounds bei LAUT, harter Cut auf Stille bei LEISE.","","","Adelsheim AKL + Kupferzell Hochregal","",""
"6","Employer-Brand - Alles Lager. Alles hier.","6.3","Vollbild-Versalien: 'DRINNEN' / 'DRAUSSEN'","DRINNEN / DRAUSSEN","Antonymen-Beat 3: DRINNEN (Halle, Stapler, Verladung) -> DRAUSSEN (Lkw fährt vom Hof, Drohne über Halle wenn genehmigt, sonst Außen-Boden-Aufnahme).","Setting-Wechsel-Cut mit Drum-Hit.","Drum-Hit pro Wort.","","","Adelsheim oder Kupferzell Halle + Lkw-Hof","Drohnen-Genehmigung offen, Plan B Außen-Boden-Aufnahme.",""
"6","Employer-Brand - Alles Lager. Alles hier.","6.4","Vollbild-Versalien: 'TONNEN' / 'GRAMM'","TONNEN / GRAMM","Antonymen-Beat 4: TONNEN (große Palette, Lkw-Heck) -> GRAMM (Schraube close, Verwiegungs-Detail).","Skala-Kontrast-Cut mit Drum-Hit.","Drum-Hit pro Wort, Sound-Design Skala.","","","Adelsheim Lkw-Hof + Schrauben-Verwiegung-Bereich","Schrauben-Verwiegung-Heritage-Anker (1996).",""
"6","Employer-Brand - Alles Lager. Alles hier.","6.5","Vollbild-Versalien: 'ALLEIN' / 'TEAM'","ALLEIN / TEAM","Antonymen-Beat 6: ALLEIN (einzelner MA in Halle, fokussiert) -> TEAM (Gruppen-Frame mit 4-5 MA in WLC-Hoodies, Wappen sichtbar).","Solo + Team-Cut mit Drum-Hit.","Drum-Hit pro Wort.","5","Solo-MA + 4-5 MA in WLC-Hoodies (Multi-Voice-Frame, Sportmannschafts-Pose-Anlehnung entspannt)","Adelsheim + Kupferzell Halle","Cornelia + Ausbildungsleitung nominieren pro Standort.",""
"6","Employer-Brand - Alles Lager. Alles hier.","6.6","Vollbild-Typografie: 'ALLES LAGER. ALLES WIR. ALLES HIER.'","ALLES LAGER. ALLES WIR. ALLES HIER.","Auflösungs-Trio: 'ALLES LAGER.' (Halle + Stapler + Hochregal Salve) -> 'ALLES WIR.' (Multi-Voice-Frame mit echten MA, Wappen-Pose-Anlehnung an Sportmannschaft) -> 'ALLES HIER.' (Map mit 12 Standort-Pins erscheint, Würth-Anker im Hintergrund).","Vollbild-Typografie mit B-Roll-Layer, harmonischer Aufbau.","Cinematic-Aufbau, Drum-Hits zu jedem Trio-Statement.","5","Multi-Voice-Frame mit 4-5 MA + Wappen sichtbar","Adelsheim + Kupferzell + Hochregal","Antonymen-Liste erweiterbar (Reserve-Paare): ROH/FERTIG, ANFANG/ZIEL, HAND/MASCHINE, HIER/ÜBERALL, KEINER/ALLE. Final-Liste mit Cornelia/Yannik im Termin 12.5.",""
"6","Employer-Brand - Alles Lager. Alles hier.","6.7","Animation Captions: 'SEIT 1996. WLC. WÜRTH-LOGISTIK.' + ggf. Auszubildende-Counter / Übernahmequote / Hochregal-Höhe","SEIT 1996. WLC. WÜRTH-LOGISTIK.","Beweis-Card-Outro animiert: Map mit 12 Standorten + Würth-Gruppen-Logo. Animation, schwarzer Grund.","Map-Animation, Pin-Drops, Counter, Typografie.","Cinematic-Aufbau zur Auflösung.","","","","Konzern-Freigabe öffentliche Zahlen offen.",""
"6","Employer-Brand - Alles Lager. Alles hier.","6.8","VO warm/tief (möglichst echter Mitarbeiter): 'Was hier passiert, ist mehr, als von außen aussieht. Und genau hier passiert es.'","","Voice-Over-Schluss: VO über Map + Würth-Anker.","Leise Auflösung mit Map und Würth-Anker.","VO im Mix prominent, ruhige Auflösung.","1","VO-Sprecher: Marvin / Backup-MA / externer Backup-Kandidat Bad Mergentheim (oder kein VO als puristische Variante)","","Niro liefert beide Cut-Optionen (mit + ohne VO). Cornelia/Yannik-Entscheidung.",""
"6","Employer-Brand - Alles Lager. Alles hier.","6.9","VO: 'Klick auf den Button, trag dich ein und wir melden uns bei dir.'","WLC. WÜRTH-LOGISTIK.","CTA-Endcard: schwarzer Hintergrund, weiße harte Typografie. Headline 'WLC. WÜRTH-LOGISTIK.' Sub: 'SEIT 1996 TEIL DER WÜRTH-GRUPPE. 12 STANDORTE.' Logo WLC + Würth-Gruppen-Anker.","Harter Cut auf Endcard.","Schluss-Beat, harte Endcard.","","","","Hashtags: #wlc #würthgruppe #lagerlogistik #karriere #teamwlc #würthlogistik. CTA-5 (Job-Entdeckung) primär, CTA-6 (Talentpool) für LinkedIn. Funnel-Top, Pixel-Retargeting für Konzepte 1-5.",""
